,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,eof,P',P,V,LV,D,L,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,A
0,s2,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,,1,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,
2,e4,s4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e1,,,3,,,,,,,,,,,,,,,,,
3,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,e1,,,,,,,,6,,7,,,8,14,,,9,15,,5
4,,,s20,,,,s22,s23,s24,,,,,,,,,,,,,,,,e1,,,,18,19,,21,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,
6,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,e1,,,,,,,,6,,7,,,8,14,,,9,15,,25
7,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,e1,,,,,,,,6,,7,,,8,14,,,9,15,,26
8,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,e1,,,,,,,,6,,7,,,8,14,,,9,15,,27
9,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s17,,s10,e1,,,,,,,,6,,7,,,8,14,,,9,15,,28
10,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,r39,,,,,,,,,,,,,,,,,,,,
11,,,,,s29,,,,,,,,,,,,,,,,,,,,e1,,,,,,,,,,,,,,,,,,,,
12,,,,,s33,,,,,,,s31,s32,,,,,,,,,,,,e1,,,,,,,,,30,,,,,,,,,,,
13,,,,,,,,,,,,,,s34,,,,,,,,,,,e1,,,,,,,,,,,,,,,,,,,,
14,,,,,s13,,,,,s11,s12,,,,,s16,,,,,s39,,,,e1,,,,,,,,36,,37,,,38,14,,35,,,,
15,,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s44,,e1,,,,,,,,41,,42,,,43,14,,,,,40,
16,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,s45,e3,e3,e3,e3,e3,e3,e3,e1,,,,,,,,,,,,,,,,,,,,
